Retransmit,Total,Percentage,Time
163,1545,0.105501618123,79.795920
164,1531,0.107119529719,65.888605
134,1483,0.0903573836817,50.862828
145,1530,0.0947712418301,58.349635
133,1466,0.0907230559345,57.990742
125,1430,0.0874125874126,49.901763
142,1519,0.093482554312,59.854023
142,1510,0.0940397350993,58.487192
144,1532,0.0939947780679,59.804370
146,1516,0.0963060686016,63.955226
121,1480,0.0817567567568,47.583039
142,1497,0.0948563794255,55.809993
121,1475,0.0820338983051,47.265514
130,1512,0.0859788359788,53.932973
143,1499,0.0953969312875,56.946889
159,1551,0.10251450677,62.816519
163,1554,0.104890604891,102.761167
156,1543,0.101101749838,59.884380
122,1498,0.0814419225634,47.672471
135,1521,0.0887573964497,59.910293
142,1511,0.0939774983455,61.786250
173,1563,0.110684580934,60.932964
145,1481,0.0979068197164,56.893673
129,1510,0.0854304635762,59.868506
153,1548,0.0988372093023,59.916091
153,1542,0.0992217898833,60.903214
117,1479,0.079107505071,44.944816
149,1542,0.0966277561608,56.942892
120,1468,0.0817438692098,48.931292
130,1493,0.0870730073677,53.812400
