Retransmit,Total,Percentage,Time
158,1463,0.107997265892,34.957495
140,1472,0.0951086956522,29.831302
164,1519,0.107965766952,39.968357
121,1461,0.0828199863107,26.936464
154,1483,0.103843560351,35.926773
148,1528,0.0968586387435,35.922186
128,1506,0.0849933598938,27.904293
143,1495,0.095652173913,33.953365
123,1474,0.0834464043419,26.701123
155,1514,0.102377807133,31.662481
140,1462,0.0957592339261,33.965085
166,1537,0.108002602472,39.983609
123,1441,0.0853573907009,24.898623
141,1524,0.0925196850394,30.017366
139,1475,0.0942372881356,28.760175
150,1515,0.0990099009901,35.937580
165,1552,0.10631443299,36.897519
146,1440,0.101388888889,31.975462
147,1463,0.1004784689,29.945054
123,1441,0.0853573907009,32.932878
123,1477,0.0832769126608,27.781207
131,1506,0.0869853917663,29.954087
151,1522,0.0992115637319,32.350037
123,1462,0.0841313269494,25.910442
142,1494,0.095046854083,27.948038
116,1464,0.0792349726776,24.987260
113,1369,0.0825420014609,25.967690
157,1535,0.102280130293,33.742352
149,1502,0.0992010652463,31.782847
136,1504,0.0904255319149,32.871802
