Retransmit,Total,Percentage,Time
206,1643,0.125380401704,178.388473034
205,1669,0.122828040743,165.369109869
180,1585,0.11356466877,192.973354816
235,1703,0.137991779213,186.417026997
209,1643,0.127206329884,173.385250092
218,1656,0.131642512077,202.624769926
216,1655,0.130513595166,179.909657955
205,1656,0.123792270531,179.747745037
200,1614,0.123915737299,212.176306963
233,1700,0.137058823529,210.054274082
255,1726,0.147740440324,180.092175007
191,1614,0.11833952912,174.882283926
202,1632,0.123774509804,189.983606815
220,1672,0.131578947368,177.415446997
258,1747,0.147681740126,194.027827024
208,1652,0.125907990315,165.622138977
194,1638,0.118437118437,174.512490034
181,1598,0.113266583229,171.423483133
202,1632,0.123774509804,168.492948055
195,1614,0.120817843866,175.742239952
211,1663,0.126879134095,167.027451992
206,1668,0.123501199041,199.136105061
215,1669,0.128819652487,183.608713865
189,1618,0.116810877627,169.457424879
209,1659,0.125979505726,195.309665918
205,1627,0.125998770744,183.819185019
202,1652,0.122276029056,173.023247004
249,1705,0.146041055718,202.148607969
223,1685,0.13234421365,188.254744053
257,1720,0.149418604651,238.072654009
