Retransmit,Total,Percentage,Time
153,1446,0.105809128631,18.1531000137
121,1341,0.0902311707681,10.5867819786
145,1495,0.0969899665552,13.096670866
107,1239,0.0863599677159,13.9083538055
133,1482,0.0897435897436,13.1757237911
122,1445,0.0844290657439,11.208894968
137,1362,0.100587371512,12.5665659904
124,1322,0.0937972768533,14.3897440434
118,1373,0.0859431900947,41.3920059204
156,1508,0.103448275862,18.9118189812
117,1490,0.0785234899329,10.4856908321
130,1449,0.0897170462388,11.2001931667
105,1449,0.0724637681159,11.2805988789
124,1461,0.0848733744011,9.66961312294
160,1423,0.11243851019,20.9666531086
114,1404,0.0811965811966,20.2307589054
143,1508,0.0948275862069,16.1738350391
111,1451,0.0764989662302,9.54364299774
143,1499,0.0953969312875,12.4449059963
125,1237,0.101050929669,13.9571559429
155,1531,0.101241018942,23.2085518837
121,1436,0.0842618384401,10.2657539845
113,1207,0.0936205468103,22.9936821461
145,1510,0.0960264900662,16.2796618938
129,1465,0.0880546075085,19.2870872021
105,1246,0.0842696629213,9.98264718056
114,1330,0.0857142857143,11.8575379848
134,1414,0.0947666195191,17.6424767971
151,1528,0.0988219895288,12.3984677792
152,1496,0.101604278075,13.8504309654
