Retransmit,Total,Percentage,Time
148,1532,0.0966057441253,56.850925
140,1520,0.0921052631579,53.876965
126,1513,0.0832782551223,48.804728
176,1549,0.113621691414,68.871856
130,1494,0.0870147255689,51.201031
161,1545,0.104207119741,70.980874
139,1495,0.0929765886288,56.504493
162,1548,0.104651162791,65.857020
153,1517,0.100856954515,55.876664
158,1543,0.102397926118,64.694329
162,1534,0.105606258149,71.989893
163,1554,0.104890604891,62.912755
212,1603,0.132252027449,80.838780
164,1535,0.106840390879,55.934166
126,1459,0.0863605209047,44.917336
128,1500,0.0853333333333,52.866004
177,1586,0.111601513241,57.789645
134,1507,0.0889183808892,49.765232
109,1457,0.0748112560055,51.909378
152,1554,0.0978120978121,64.685731
156,1530,0.101960784314,57.870281
161,1546,0.104139715395,58.625266
151,1530,0.0986928104575,53.844410
126,1504,0.0837765957447,47.963565
138,1520,0.0907894736842,54.670323
167,1554,0.107464607465,64.772552
152,1514,0.100396301189,62.717659
146,1528,0.0955497382199,57.518864
168,1545,0.108737864078,62.884901
128,1513,0.0846001321877,66.922473
