Retransmit,Total,Percentage,Time
104,1304,0.079754601227,9.157033
144,1535,0.0938110749186,16.012377
116,1489,0.0779046339825,10.905900
92,1283,0.0717069368667,6.888595
96,1435,0.0668989547038,8.516407
97,1251,0.0775379696243,7.907195
117,1331,0.0879038317055,11.118463
120,1434,0.0836820083682,11.961624
126,1533,0.0821917808219,10.885086
105,1475,0.071186440678,10.808279
85,1442,0.0589459084605,6.582561
119,1412,0.0842776203966,11.955651
90,1323,0.0680272108844,8.907721
103,1396,0.073782234957,8.042661
96,1367,0.0702267739576,9.829786
108,1486,0.0726783310902,14.848177
83,1222,0.0679214402619,7.770114
103,1472,0.069972826087,8.527467
102,1441,0.0707841776544,11.164939
123,1508,0.0815649867374,11.024747
117,1414,0.0827439886846,9.852883
114,1319,0.0864291129644,10.893795
108,1322,0.0816944024206,12.066046
116,1516,0.0765171503958,12.055632
141,1451,0.0971743625086,14.094487
120,1486,0.0807537012113,8.797138
89,1302,0.068356374808,6.941366
114,1482,0.0769230769231,10.540563
79,1171,0.067463706234,6.261590
107,1442,0.0742024965326,9.468972
