Retransmit,Total,Percentage,Time
129,1428,0.0903361344538,13.098073
156,1477,0.105619498984,15.992647
136,1436,0.0947075208914,11.993224
122,1453,0.0839642119752,9.993911
154,1503,0.10246174318,12.946694
148,1470,0.100680272109,11.760210
167,1551,0.107672469375,16.897020
140,1457,0.0960878517502,12.050431
144,1502,0.0958721704394,12.031649
126,1477,0.085308056872,8.986442
136,1433,0.0949057920447,11.986596
123,1232,0.0998376623377,9.936985
124,1465,0.0846416382253,11.011243
140,1446,0.0968188105118,15.097679
141,1284,0.109813084112,14.094893
137,1521,0.0900723208416,12.892906
150,1402,0.106990014265,10.101161
155,1426,0.108695652174,21.089835
111,1345,0.0825278810409,10.918303
140,1511,0.0926538716082,11.057042
129,1487,0.0867518493611,10.694779
147,1523,0.096520026264,11.014336
163,1524,0.106955380577,19.010534
117,1440,0.08125,9.101168
139,1463,0.095010252905,11.143817
164,1553,0.105602060528,17.096905
127,1415,0.0897526501767,12.100898
121,1408,0.0859375,13.921359
148,1436,0.103064066852,12.898561
147,1537,0.0956408588159,10.982194
