Retransmit,Total,Percentage,Time
139,1482,0.0937921727395,165.554625034
135,1525,0.0885245901639,161.321697235
120,1478,0.0811907983762,151.223318815
145,1520,0.0953947368421,167.805141926
151,1556,0.0970437017995,185.023339033
152,1542,0.0985732814527,179.064420938
150,1520,0.0986842105263,161.159662008
158,1551,0.101869761444,185.215527058
144,1536,0.09375,180.232379913
132,1526,0.086500655308,155.393800974
144,1530,0.0941176470588,167.693525076
160,1538,0.104031209363,182.076938152
127,1501,0.0846102598268,156.260857105
111,1480,0.075,142.660384893
115,1509,0.0762094102054,148.237976074
175,1566,0.111749680715,182.685646057
140,1530,0.0915032679739,161.177361012
147,1521,0.0966469428008,191.35689497
131,1505,0.0870431893688,157.356624126
119,1484,0.0801886792453,152.934685946
160,1545,0.10355987055,183.360894918
137,1526,0.0897771952818,174.772233009
129,1507,0.085600530856,150.883784771
147,1495,0.0983277591973,176.601006985
141,1508,0.0935013262599,159.308460951
134,1508,0.0888594164456,166.591192961
132,1508,0.0875331564987,158.810324907
149,1520,0.0980263157895,184.814647913
118,1451,0.0813232253618,153.851967812
137,1528,0.0896596858639,170.463732958
