Retransmit,Total,Percentage,Time
135,1472,0.0917119565217,12.5619299412
138,1475,0.0935593220339,16.4842209816
175,1550,0.112903225806,24.0114901066
159,1528,0.104057591623,41.5089650154
119,1358,0.0876288659794,15.5607171059
128,1474,0.0868385345997,12.7961449623
127,1466,0.0866302864939,10.5630450249
146,1408,0.103693181818,16.6549129486
154,1486,0.103633916555,14.535820961
152,1514,0.100396301189,20.2988479137
160,1532,0.104438642298,14.7410140038
119,1448,0.082182320442,13.4246819019
143,1510,0.094701986755,16.1187858582
167,1552,0.107603092784,18.7832839489
173,1559,0.110968569596,25.1209790707
142,1428,0.0994397759104,11.6307420731
153,1512,0.10119047619,19.1950528622
112,1405,0.0797153024911,12.0060551167
128,1380,0.0927536231884,12.5288488865
137,1326,0.103318250377,21.7064061165
117,1426,0.0820476858345,11.0649321079
206,1610,0.127950310559,22.4772090912
148,1501,0.0986009327115,15.0851709843
137,1504,0.0910904255319,16.715264082
156,1470,0.10612244898,17.4318759441
133,1459,0.0911583276217,19.7232809067
127,1443,0.0880110880111,13.5389659405
150,1489,0.100738750839,18.7881920338
144,1441,0.0999306037474,13.8418161869
166,1558,0.106546854942,14.5141601562
