Retransmit,Total,Percentage,Time
129,1464,0.0881147540984,25.855714
152,1493,0.101808439384,30.907600
159,1488,0.10685483871,31.919721
148,1469,0.100748808713,29.927342
119,1404,0.0847578347578,28.629110
150,1520,0.0986842105263,29.857772
142,1454,0.0976616231087,27.947929
147,1510,0.0973509933775,27.873061
140,1504,0.093085106383,28.952163
125,1490,0.0838926174497,25.926993
130,1486,0.0874831763122,25.898476
193,1561,0.123638693145,39.910331
162,1502,0.107856191744,33.953363
157,1508,0.104111405836,34.926383
168,1510,0.111258278146,34.957855
168,1501,0.111925383078,33.709092
133,1501,0.0886075949367,24.927545
128,1464,0.0874316939891,28.915191
146,1488,0.0981182795699,29.804048
141,1508,0.0935013262599,27.928468
129,1501,0.0859427048634,27.954761
164,1511,0.108537392455,32.917860
153,1509,0.101391650099,30.771388
144,1461,0.0985626283368,28.753550
154,1475,0.104406779661,34.940052
149,1497,0.0995323981296,28.909215
131,1461,0.0896646132786,28.009010
148,1523,0.0971766250821,30.902197
142,1485,0.0956228956229,30.943886
158,1494,0.105756358768,29.944668
